Reaction Type,Category,,,Reaction Type,Animals,Science,Healthy Eating,Technology,Food
like,soccer,,,,,,,,
love,soccer,,,,,,,,
want,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
want,public speaking,,,,,,,,
like,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
peeking,public speaking,,,,,,,,
like,public speaking,,,,,,,,
intrigued,public speaking,,,,,,,,
cherish,public speaking,,,,,,,,
peeking,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
intrigued,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
cherish,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
like,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
want,public speaking,,,,,,,,
intrigued,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
like,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
love,public speaking,,,,,,,,
want,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
super love,science,,,,,,,,
heart,science,,,,,,,,
intrigued,science,,,,,,,,
super love,science,,,,,,,,
worried,science,,,,,,,,
cherish,science,,,,,,,,
indifferent,science,,,,,,,,
adore,science,,,,,,,,
intrigued,science,,,,,,,,
love,science,,,,,,,,
scared,science,,,,,,,,
heart,science,,,,,,,,
want,science,,,,,,,,
like,science,,,,,,,,
hate,science,,,,,,,,
love,science,,,,,,,,
disgust,science,,,,,,,,
adore,science,,,,,,,,
scared,science,,,,,,,,
intrigued,science,,,,,,,,
intrigued,science,,,,,,,,
love,science,,,,,,,,
cherish,tennis,,,,,,,,
worried,tennis,,,,,,,,
indifferent,tennis,,,,,,,,
super love,tennis,,,,,,,,
worried,tennis,,,,,,,,
indifferent,tennis,,,,,,,,
super love,tennis,,,,,,,,
worried,tennis,,,,,,,,
intrigued,tennis,,,,,,,,
disgust,tennis,,,,,,,,
peeking,tennis,,,,,,,,
scared,tennis,,,,,,,,
scared,tennis,,,,,,,,
hate,tennis,,,,,,,,
heart,tennis,,,,,,,,
super love,tennis,,,,,,,,
worried,tennis,,,,,,,,
super love,tennis,,,,,,,,
hate,tennis,,,,,,,,
want,tennis,,,,,,,,
heart,tennis,,,,,,,,
want,tennis,,,,,,,,
intrigued,tennis,,,,,,,,
peeking,tennis,,,,,,,,
interested,tennis,,,,,,,,
heart,tennis,,,,,,,,
peeking,tennis,,,,,,,,
intrigued,tennis,,,,,,,,
peeking,tennis,,,,,,,,
heart,tennis,,,,,,,,
cherish,tennis,,,,,,,,
super love,tennis,,,,,,,,
cherish,tennis,,,,,,,,
dislike,tennis,,,,,,,,
heart,tennis,,,,,,,,
hate,tennis,,,,,,,,
hate,tennis,,,,,,,,
peeking,tennis,,,,,,,,
disgust,tennis,,,,,,,,
intrigued,tennis,,,,,,,,
cherish,tennis,,,,,,,,
dislike,tennis,,,,,,,,
disgust,tennis,,,,,,,,
want,tennis,,,,,,,,
peeking,tennis,,,,,,,,
hate,tennis,,,,,,,,
disgust,tennis,,,,,,,,
love,food,,,,,,,,
worried,food,,,,,,,,
worried,food,,,,,,,,
super love,food,,,,,,,,
peeking,food,,,,,,,,
indifferent,food,,,,,,,,
worried,food,,,,,,,,
indifferent,food,,,,,,,,
super love,food,,,,,,,,
peeking,food,,,,,,,,
disgust,food,,,,,,,,
scared,food,,,,,,,,
scared,food,,,,,,,,
disgust,food,,,,,,,,
adore,food,,,,,,,,
dislike,food,,,,,,,,
disgust,food,,,,,,,,
love,food,,,,,,,,
heart,food,,,,,,,,
love,food,,,,,,,,
peeking,food,,,,,,,,
intrigued,food,,,,,,,,
intrigued,food,,,,,,,,
disgust,food,,,,,,,,
like,food,,,,,,,,
super love,food,,,,,,,,
dislike,food,,,,,,,,
heart,food,,,,,,,,
heart,food,,,,,,,,
dislike,food,,,,,,,,
intrigued,food,,,,,,,,
adore,food,,,,,,,,
indifferent,food,,,,,,,,
super love,food,,,,,,,,
disgust,food,,,,,,,,
peeking,food,,,,,,,,
super love,food,,,,,,,,
heart,food,,,,,,,,
scared,food,,,,,,,,
interested,food,,,,,,,,
scared,food,,,,,,,,
super love,food,,,,,,,,
like,food,,,,,,,,
super love,food,,,,,,,,
intrigued,food,,,,,,,,
scared,food,,,,,,,,
peeking,food,,,,,,,,
like,food,,,,,,,,
intrigued,travel,,,,,,,,
interested,fitness,,,,,,,,
like,fitness,,,,,,,,
disgust,fitness,,,,,,,,
interested,fitness,,,,,,,,
worried,fitness,,,,,,,,
worried,fitness,,,,,,,,
indifferent,fitness,,,,,,,,
cherish,fitness,,,,,,,,
adore,soccer,,,,,,,,
interested,soccer,,,,,,,,
want,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
disgust,soccer,,,,,,,,
hate,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
interested,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
want,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
worried,public speaking,,,,,,,,
love,public speaking,,,,,,,,
like,public speaking,,,,,,,,
indifferent,public speaking,,,,,,,,
want,public speaking,,,,,,,,
love,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
heart,public speaking,,,,,,,,
want,public speaking,,,,,,,,
dislike,public speaking,,,,,,,,
want,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
cherish,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
want,public speaking,,,,,,,,
want,public speaking,,,,,,,,
adore,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
peeking,public speaking,,,,,,,,
hate,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
disgust,public speaking,,,,,,,,
scared,public speaking,,,,,,,,
intrigued,public speaking,,,,,,,,
super love,public speaking,,,,,,,,
interested,public speaking,,,,,,,,
intrigued,public speaking,,,,,,,,
disgust,food,,,,,,,,
hate,food,,,,,,,,
cherish,food,,,,,,,,
hate,food,,,,,,,,
scared,food,,,,,,,,
intrigued,food,,,,,,,,
worried,food,,,,,,,,
want,food,,,,,,,,
cherish,food,,,,,,,,
scared,food,,,,,,,,
like,food,,,,,,,,
disgust,food,,,,,,,,
dislike,food,,,,,,,,
interested,food,,,,,,,,
adore,food,,,,,,,,
like,food,,,,,,,,
dislike,food,,,,,,,,
scared,food,,,,,,,,
indifferent,food,,,,,,,,
indifferent,food,,,,,,,,
interested,food,,,,,,,,
like,food,,,,,,,,
super love,food,,,,,,,,
worried,food,,,,,,,,
intrigued,food,,,,,,,,
super love,food,,,,,,,,
adore,tennis,,,,,,,,
peeking,tennis,,,,,,,,
disgust,tennis,,,,,,,,
worried,tennis,,,,,,,,
worried,tennis,,,,,,,,
disgust,tennis,,,,,,,,
heart,tennis,,,,,,,,
hate,tennis,,,,,,,,
like,tennis,,,,,,,,
scared,tennis,,,,,,,,
hate,tennis,,,,,,,,
love,tennis,,,,,,,,
scared,tennis,,,,,,,,
want,tennis,,,,,,,,
love,tennis,,,,,,,,
dislike,tennis,,,,,,,,
like,tennis,,,,,,,,
want,tennis,,,,,,,,
like,tennis,,,,,,,,
heart,tennis,,,,,,,,
scared,tennis,,,,,,,,
love,tennis,,,,,,,,
hate,tennis,,,,,,,,
intrigued,tennis,,,,,,,,
want,tennis,,,,,,,,
hate,tennis,,,,,,,,
dislike,tennis,,,,,,,,
super love,tennis,,,,,,,,
want,tennis,,,,,,,,
like,tennis,,,,,,,,
indifferent,tennis,,,,,,,,
disgust,tennis,,,,,,,,
interested,tennis,,,,,,,,
dislike,tennis,,,,,,,,
indifferent,tennis,,,,,,,,
intrigued,tennis,,,,,,,,
intrigued,tennis,,,,,,,,
scared,tennis,,,,,,,,
adore,tennis,,,,,,,,
peeking,tennis,,,,,,,,
disgust,tennis,,,,,,,,
cherish,tennis,,,,,,,,
love,tennis,,,,,,,,
super love,tennis,,,,,,,,
hate,tennis,,,,,,,,
worried,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
dislike,soccer,,,,,,,,
hate,soccer,,,,,,,,
disgust,soccer,,,,,,,,
disgust,soccer,,,,,,,,
cherish,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
cherish,soccer,,,,,,,,
scared,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
love,soccer,,,,,,,,
love,soccer,,,,,,,,
cherish,soccer,,,,,,,,
dislike,soccer,,,,,,,,
like,soccer,,,,,,,,
hate,soccer,,,,,,,,
worried,soccer,,,,,,,,
super love,soccer,,,,,,,,
heart,soccer,,,,,,,,
interested,soccer,,,,,,,,
scared,soccer,,,,,,,,
like,soccer,,,,,,,,
cherish,soccer,,,,,,,,
love,soccer,,,,,,,,
want,soccer,,,,,,,,
like,soccer,,,,,,,,
disgust,soccer,,,,,,,,
heart,soccer,,,,,,,,
super love,soccer,,,,,,,,
super love,soccer,,,,,,,,
hate,soccer,,,,,,,,
disgust,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
like,soccer,,,,,,,,
like,soccer,,,,,,,,
disgust,soccer,,,,,,,,
peeking,soccer,,,,,,,,
peeking,soccer,,,,,,,,
interested,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
adore,soccer,,,,,,,,
interested,soccer,,,,,,,,
scared,soccer,,,,,,,,
super love,soccer,,,,,,,,
dislike,soccer,,,,,,,,
disgust,soccer,,,,,,,,
peeking,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
interested,soccer,,,,,,,,
dislike,soccer,,,,,,,,
interested,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
love,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
dislike,soccer,,,,,,,,
adore,soccer,,,,,,,,
adore,soccer,,,,,,,,
indifferent,soccer,,,,,,,,
peeking,soccer,,,,,,,,
peeking,soccer,,,,,,,,
cherish,soccer,,,,,,,,
cherish,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
intrigued,soccer,,,,,,,,
heart,soccer,,,,,,,,
interested,education,,,,,,,,
like,education,,,,,,,,
cherish,education,,,,,,,,
adore,education,,,,,,,,
want,education,,,,,,,,
dislike,education,,,,,,,,
like,education,,,,,,,,
want,education,,,,,,,,
super love,education,,,,,,,,
scared,education,,,,,,,,
cherish,education,,,,,,,,
disgust,education,,,,,,,,
love,education,,,,,,,,
like,education,,,,,,,,
dislike,education,,,,,,,,
heart,education,,,,,,,,
indifferent,education,,,,,,,,
interested,education,,,,,,,,
interested,education,,,,,,,,
want,studying,,,,,,,,
super love,studying,,,,,,,,
scared,studying,,,,,,,,
love,studying,,,,,,,,
hate,studying,,,,,,,,
cherish,studying,,,,,,,,
adore,studying,,,,,,,,
love,studying,,,,,,,,
dislike,studying,,,,,,,,
intrigued,studying,,,,,,,,
adore,studying,,,,,,,,
hate,studying,,,,,,,,
hate,studying,,,,,,,,
cherish,studying,,,,,,,,
like,studying,,,,,,,,
love,studying,,,,,,,,
heart,studying,,,,,,,,
indifferent,studying,,,,,,,,
worried,studying,,,,,,,,
adore,studying,,,,,,,,
peeking,studying,,,,,,,,
love,studying,,,,,,,,
worried,studying,,,,,,,,
indifferent,studying,,,,,,,,
intrigued,studying,,,,,,,,
heart,studying,,,,,,,,
love,studying,,,,,,,,
scared,studying,,,,,,,,
scared,studying,,,,,,,,
love,studying,,,,,,,,
like,studying,,,,,,,,
scared,studying,,,,,,,,
heart,studying,,,,,,,,
disgust,studying,,,,,,,,
like,studying,,,,,,,,
worried,studying,,,,,,,,
scared,studying,,,,,,,,
heart,studying,,,,,,,,
like,studying,,,,,,,,
disgust,studying,,,,,,,,
disgust,studying,,,,,,,,
cherish,studying,,,,,,,,
intrigued,studying,,,,,,,,
indifferent,studying,,,,,,,,
peeking,studying,,,,,,,,
hate,studying,,,,,,,,
adore,studying,,,,,,,,
super love,travel,,,,,,,,
worried,travel,,,,,,,,
heart,travel,,,,,,,,
like,travel,,,,,,,,
heart,travel,,,,,,,,
want,travel,,,,,,,,
indifferent,travel,,,,,,,,
love,travel,,,,,,,,
peeking,travel,,,,,,,,
heart,travel,,,,,,,,
peeking,travel,,,,,,,,
love,travel,,,,,,,,
disgust,travel,,,,,,,,
disgust,travel,,,,,,,,
adore,travel,,,,,,,,
want,travel,,,,,,,,
super love,travel,,,,,,,,
intrigued,travel,,,,,,,,
adore,travel,,,,,,,,
adore,travel,,,,,,,,
love,travel,,,,,,,,
dislike,food,,,,,,,,
worried,food,,,,,,,,
indifferent,food,,,,,,,,
interested,food,,,,,,,,
hate,food,,,,,,,,
peeking,food,,,,,,,,
cherish,food,,,,,,,,
dislike,food,,,,,,,,
worried,food,,,,,,,,
interested,food,,,,,,,,
adore,food,,,,,,,,
love,food,,,,,,,,
love,food,,,,,,,,
adore,food,,,,,,,,
scared,food,,,,,,,,
intrigued,food,,,,,,,,
worried,food,,,,,,,,
cherish,food,,,,,,,,
worried,food,,,,,,,,
adore,food,,,,,,,,
hate,food,,,,,,,,
interested,food,,,,,,,,
love,food,,,,,,,,
heart,food,,,,,,,,
heart,food,,,,,,,,
scared,food,,,,,,,,
adore,food,,,,,,,,
interested,food,,,,,,,,
peeking,food,,,,,,,,
interested,food,,,,,,,,
love,food,,,,,,,,
dislike,food,,,,,,,,
worried,food,,,,,,,,
peeking,food,,,,,,,,
cherish,dogs,,,,,,,,
want,dogs,,,,,,,,
heart,dogs,,,,,,,,
like,dogs,,,,,,,,
scared,dogs,,,,,,,,
super love,dogs,,,,,,,,
hate,dogs,,,,,,,,
disgust,dogs,,,,,,,,
heart,dogs,,,,,,,,
hate,dogs,,,,,,,,
adore,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
interested,dogs,,,,,,,,
worried,dogs,,,,,,,,
interested,science,,,,,,,,
worried,science,,,,,,,,
love,science,,,,,,,,
cherish,science,,,,,,,,
adore,science,,,,,,,,
interested,science,,,,,,,,
love,science,,,,,,,,
love,science,,,,,,,,
intrigued,science,,,,,,,,
adore,science,,,,,,,,
like,science,,,,,,,,
love,science,,,,,,,,
adore,science,,,,,,,,
interested,science,,,,,,,,
cherish,science,,,,,,,,
indifferent,science,,,,,,,,
indifferent,science,,,,,,,,
indifferent,science,,,,,,,,
scared,science,,,,,,,,
heart,science,,,,,,,,
hate,science,,,,,,,,
interested,science,,,,,,,,
peeking,science,,,,,,,,
like,science,,,,,,,,
heart,science,,,,,,,,
peeking,science,,,,,,,,
peeking,science,,,,,,,,
heart,science,,,,,,,,
disgust,science,,,,,,,,
disgust,science,,,,,,,,
peeking,science,,,,,,,,
love,science,,,,,,,,
love,science,,,,,,,,
heart,science,,,,,,,,
adore,science,,,,,,,,
hate,science,,,,,,,,
dislike,science,,,,,,,,
indifferent,science,,,,,,,,
cherish,science,,,,,,,,
want,science,,,,,,,,
worried,science,,,,,,,,
worried,science,,,,,,,,
adore,science,,,,,,,,
intrigued,science,,,,,,,,
hate,science,,,,,,,,
hate,science,,,,,,,,
adore,veganism,,,,,,,,
disgust,veganism,,,,,,,,
intrigued,veganism,,,,,,,,
hate,veganism,,,,,,,,
worried,veganism,,,,,,,,
dislike,veganism,,,,,,,,
intrigued,veganism,,,,,,,,
peeking,veganism,,,,,,,,
worried,veganism,,,,,,,,
like,veganism,,,,,,,,
scared,veganism,,,,,,,,
peeking,veganism,,,,,,,,
interested,veganism,,,,,,,,
heart,veganism,,,,,,,,
worried,veganism,,,,,,,,
want,veganism,,,,,,,,
like,veganism,,,,,,,,
super love,veganism,,,,,,,,
indifferent,veganism,,,,,,,,
scared,veganism,,,,,,,,
hate,veganism,,,,,,,,
like,veganism,,,,,,,,
heart,veganism,,,,,,,,
intrigued,veganism,,,,,,,,
love,veganism,,,,,,,,
love,veganism,,,,,,,,
heart,veganism,,,,,,,,
adore,veganism,,,,,,,,
like,veganism,,,,,,,,
indifferent,veganism,,,,,,,,
worried,veganism,,,,,,,,
peeking,veganism,,,,,,,,
disgust,veganism,,,,,,,,
indifferent,veganism,,,,,,,,
dislike,veganism,,,,,,,,
love,veganism,,,,,,,,
cherish,veganism,,,,,,,,
super love,veganism,,,,,,,,
interested,veganism,,,,,,,,
adore,veganism,,,,,,,,
cherish,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
like,healthy eating,,,,,,,,
interested,healthy eating,,,,,,,,
intrigued,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
hate,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
scared,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
disgust,healthy eating,,,,,,,,
cherish,healthy eating,,,,,,,,
want,healthy eating,,,,,,,,
peeking,healthy eating,,,,,,,,
super love,healthy eating,,,,,,,,
indifferent,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
adore,healthy eating,,,,,,,,
dislike,healthy eating,,,,,,,,
worried,healthy eating,,,,,,,,
intrigued,food,,,,,,,,
indifferent,food,,,,,,,,
want,food,,,,,,,,
cherish,food,,,,,,,,
cherish,food,,,,,,,,
cherish,food,,,,,,,,
disgust,food,,,,,,,,
dislike,food,,,,,,,,
love,food,,,,,,,,
adore,food,,,,,,,,
indifferent,food,,,,,,,,
intrigued,food,,,,,,,,
heart,food,,,,,,,,
peeking,food,,,,,,,,
love,food,,,,,,,,
indifferent,food,,,,,,,,
worried,food,,,,,,,,
love,food,,,,,,,,
like,food,,,,,,,,
love,food,,,,,,,,
dislike,food,,,,,,,,
hate,food,,,,,,,,
indifferent,food,,,,,,,,
disgust,food,,,,,,,,
worried,food,,,,,,,,
heart,dogs,,,,,,,,
disgust,dogs,,,,,,,,
peeking,dogs,,,,,,,,
dislike,dogs,,,,,,,,
scared,dogs,,,,,,,,
hate,dogs,,,,,,,,
interested,dogs,,,,,,,,
cherish,dogs,,,,,,,,
love,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
want,dogs,,,,,,,,
heart,dogs,,,,,,,,
heart,dogs,,,,,,,,
super love,dogs,,,,,,,,
adore,dogs,,,,,,,,
worried,dogs,,,,,,,,
hate,dogs,,,,,,,,
hate,dogs,,,,,,,,
super love,dogs,,,,,,,,
like,dogs,,,,,,,,
disgust,dogs,,,,,,,,
like,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
scared,dogs,,,,,,,,
want,dogs,,,,,,,,
heart,dogs,,,,,,,,
adore,dogs,,,,,,,,
cherish,dogs,,,,,,,,
love,dogs,,,,,,,,
super love,dogs,,,,,,,,
indifferent,dogs,,,,,,,,
like,dogs,,,,,,,,
disgust,dogs,,,,,,,,
intrigued,studying,,,,,,,,
intrigued,studying,,,,,,,,
hate,studying,,,,,,,,
disgust,cooking,,,,,,,,
disgust,cooking,,,,,,,,
dislike,cooking,,,,,,,,
adore,cooking,,,,,,,,
worried,cooking,,,,,,,,
hate,cooking,,,,,,,,
adore,cooking,,,,,,,,
hate,cooking,,,,,,,,
worried,cooking,,,,,,,,
intrigued,cooking,,,,,,,,
interested,cooking,,,,,,,,
super love,cooking,,,,,,,,
dislike,cooking,,,,,,,,
heart,cooking,,,,,,,,
super love,cooking,,,,,,,,
dislike,cooking,,,,,,,,
worried,cooking,,,,,,,,
dislike,cooking,,,,,,,,
heart,cooking,,,,,,,,
heart,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
hate,cooking,,,,,,,,
interested,cooking,,,,,,,,
adore,cooking,,,,,,,,
intrigued,cooking,,,,,,,,
interested,cooking,,,,,,,,
indifferent,cooking,,,,,,,,
hate,cooking,,,,,,,,
like,cooking,,,,,,,,
heart,cooking,,,,,,,,
dislike,food,,,,,,,,
like,food,,,,,,,,
intrigued,food,,,,,,,,
worried,food,,,,,,,,
hate,food,,,,,,,,
peeking,food,,,,,,,,
peeking,food,,,,,,,,
interested,food,,,,,,,,
intrigued,food,,,,,,,,
peeking,food,,,,,,,,
cherish,food,,,,,,,,
hate,food,,,,,,,,
super love,food,,,,,,,,
scared,food,,,,,,,,
interested,food,,,,,,,,
want,food,,,,,,,,
hate,food,,,,,,,,
scared,food,,,,,,,,
dislike,food,,,,,,,,
cherish,food,,,,,,,,
interested,food,,,,,,,,
worried,food,,,,,,,,
super love,food,,,,,,,,
hate,food,,,,,,,,
love,food,,,,,,,,
intrigued,food,,,,,,,,
peeking,food,,,,,,,,
worried,food,,,,,,,,
want,food,,,,,,,,
hate,food,,,,,,,,
cherish,food,,,,,,,,
worried,food,,,,,,,,
disgust,food,,,,,,,,
like,food,,,,,,,,
intrigued,food,,,,,,,,
love,food,,,,,,,,
hate,food,,,,,,,,
want,food,,,,,,,,
cherish,Animals,,,,,,,,
intrigued,Animals,,,,,,,,
like,Animals,,,,,,,,
love,Animals,,,,,,,,
hate,Animals,,,,,,,,
scared,Animals,,,,,,,,
hate,Animals,,,,,,,,
cherish,Animals,,,,,,,,
adore,Animals,,,,,,,,
scared,technology,,,,,,,,
heart,technology,,,,,,,,
scared,technology,,,,,,,,
love,technology,,,,,,,,
interested,technology,,,,,,,,
heart,technology,,,,,,,,
adore,technology,,,,,,,,
